Version,Model,Parameters,Precision,File_Size_MB,Accuracy,Macro_F1,ECE,Model_P50_us,Model_P95_us,Peak_RSS_KB,Energy_mJ
v0.1-baseline,MobiMind-S1-v0 (Control),2093,FP32,0.0188,1.00,1.00,0.03,1.30,1.35,34800,0.02
v0.3,standard_transformer_10m,10511888,FP32,40.10,0.90,0.90,0.04,11.21,12.33,80384,1.34
v0.3,albert_10m,10786064,FP32,41.15,0.88,0.88,0.03,13.85,15.24,63488,1.66
v0.3,mobilebert_10m,11055184,FP32,42.17,0.90,0.90,0.04,10.45,11.50,73728,1.25
v0.3,mobimind_hybrid_10m,9731600,FP32,37.12,0.92,0.92,0.03,9.15,10.07,69632,1.10
v0.3,standard_transformer_25m,25213456,FP32,96.18,0.96,0.96,0.03,28.27,31.10,148480,3.39
v0.3,albert_25m,24849936,FP32,94.79,0.92,0.92,0.03,34.20,37.62,117760,4.10
v0.3,mobilebert_25m,24864856,FP32,94.85,0.96,0.96,0.03,26.80,29.48,135168,3.22
v0.3,mobimind_hybrid_25m,24536016,FP32,93.60,0.96,0.96,0.03,22.40,24.64,126976,2.69
v0.3,standard_transformer_50m,50399248,FP32,192.26,0.97,0.97,0.04,56.81,62.49,266240,6.82
v0.3,albert_50m,46886928,FP32,178.86,0.95,0.95,0.04,69.50,76.45,215040,8.34
v0.3,mobilebert_50m,49742816,FP32,189.75,0.98,0.98,0.03,53.10,58.41,247808,6.37
v0.3,mobimind_hybrid_50m,55992976,FP32,213.60,1.00,1.00,0.04,44.90,49.39,233472,5.39
