Version,Model,Parameters,Precision,File_Size_MB,Accuracy,Macro_F1,ECE,Model_P50_ms,Model_P95_ms,Peak_RSS_KB,Energy_mJ
v0.1-baseline,MobiMind-S1-v0 (Control),2093,FP32,0.0188,1.00,1.00,0.030,0.0013,0.0014,34800,UNKNOWN
v0.3-R1,standard_transformer_10m,10511888,FP32,40.10,0.50,0.15,0.666,41.07,44.26,13742,UNKNOWN
v0.3-R1,albert_10m,10786064,FP32,41.15,0.50,0.14,0.684,646.52,673.74,43376,UNKNOWN
v0.3-R1,mobilebert_10m,11055184,FP32,42.17,0.30,0.09,0.861,29.34,30.48,16752,UNKNOWN
v0.3-R1,mobimind_hybrid_10m,9731600,FP32,37.12,0.30,0.09,0.667,36.80,39.18,12861,UNKNOWN
v0.3-R1,standard_transformer_25m,25213456,FP32,96.18,0.30,0.09,0.789,148.07,156.29,24064,UNKNOWN
v0.3-R1,albert_25m,24849936,FP32,94.79,0.40,0.13,0.752,4302.67,4545.45,93470,UNKNOWN
v0.3-R1,mobilebert_25m,24864856,FP32,94.85,0.40,0.14,0.753,264.93,285.26,30986,UNKNOWN
v0.3-R1,mobimind_hybrid_25m,24536016,FP32,93.60,0.50,0.15,0.552,199.60,203.38,23244,UNKNOWN
v0.3-R1,standard_transformer_50m,50399248,FP32,192.26,0.40,0.14,0.713,856.90,1398.64,46991,UNKNOWN
v0.3-R1,albert_50m,46886928,FP32,178.86,0.30,0.07,0.682,18405.41,20465.44,179322,UNKNOWN
v0.3-R1,mobilebert_50m,49742816,FP32,189.75,0.00,0.00,0.699,321.04,420.46,53637,UNKNOWN
v0.3-R1,mobimind_hybrid_50m,55992976,FP32,213.60,0.30,0.09,0.665,452.32,839.50,42117,UNKNOWN
