Version,Model,Parameters,Precision,File_Size_MB,Accuracy,Macro_F1,ECE,Model_P50_ms,Model_P95_ms,Peak_RSS_MB,Load_Time_ms,Cold_Start_ms,Execution_Method,Energy_mJ
v0.1-baseline,MobiMind-S1-v0 (Control),2093,FP32,0.02,1.00,1.00,0.030,0.0013,0.0014,33.98,0.12,0.05,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,standard_transformer_10m,10511888,FP32,40.10,0.50,0.15,0.666,5.38,11.94,43.32,98.74,6.36,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,albert_10m,10786064,FP32,41.15,0.50,0.14,0.684,30.51,39.01,257.07,436.14,64.16,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,mobilebert_10m,11055184,FP32,42.17,0.30,0.09,0.861,5.75,10.21,43.64,117.31,23.68,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,mobimind_hybrid_10m,9731600,FP32,37.12,0.30,0.09,0.667,3.65,4.01,40.60,88.81,4.46,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,standard_transformer_25m,25213456,FP32,96.18,0.30,0.09,0.789,16.05,18.44,96.63,154.16,22.34,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,albert_25m,24849936,FP32,94.79,0.40,0.13,0.752,142.22,260.78,776.52,1215.55,242.47,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,mobilebert_25m,24864856,FP32,94.85,0.40,0.14,0.753,15.01,16.17,92.85,168.56,19.98,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,mobimind_hybrid_25m,24536016,FP32,93.60,0.50,0.15,0.552,15.17,21.46,92.88,142.25,14.97,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,standard_transformer_50m,50399248,FP32,192.26,0.40,0.14,0.713,35.42,36.24,195.93,231.31,40.14,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,albert_50m,46886928,FP32,178.86,0.30,0.07,0.682,274.77,402.28,2208.66,6722.09,2526.01,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,mobilebert_50m,49742816,FP32,189.75,0.00,0.00,0.699,24.23,33.33,190.78,257.12,38.64,ACTUAL_ONDEVICE_MODEL,UNKNOWN
v0.3-R2,mobimind_hybrid_50m,55992976,FP32,213.60,0.30,0.09,0.665,52.13,133.85,212.27,288.07,28.65,ACTUAL_ONDEVICE_MODEL,UNKNOWN
